Rank,Person,Total Gross,Number of Movies,Average Gross,Highest Gross Movie,Gross
529,Scott Mitchell Rosenberg,$101.4,2,$50.7,Cowboys & Aliens,$100.2
530,Jessica Bendinger,$100.1,2,$50.1,Bring It On,$68.4
531,David O. Russell,$99.4,4,$24.9,Anchorman,$85.3
532,Quentin Tarantino,$99.0,7,$14.1,Hero,$53.7
533,George Nolfi,$98.8,2,$49.4,The Adjustment Bureau,$62.5
534,Ross Katz,$98.6,4,$24.6,Lost in Translation,$44.6
535,Jackie Marcus,$98.0,2,$49.0,Disturbia,$80.2
536,Conrad Vernon,$97.7,1,$97.7,Sausage Party,$97.7
537,Alexander Payne,$97.1,6,$16.2,The Descendants,$82.6
538,Hilary Swank,$96.7,5,$19.3,Something Borrowed,$39.0
539,Nick Hornby,$96.0,3,$32.0,Fever Pitch,$42.1
540,Brad Bird,$93.4,1,$93.4,Tomorrowland,$93.4
541,Shane Black,$93.0,2,$46.5,The Last Boy Scout,$59.5
542,Jeff Wadlow,$92.2,1,$92.2,Non-Stop,$92.2
543,Aaron Seltzer,$92.2,3,$30.7,Epic Movie,$39.7
544,Nora Grossman,$91.1,1,$91.1,The Imitation Game,$91.1
545,Graham Moore,$91.1,1,$91.1,The Imitation Game,$91.1
546,Ido Ostrowsky,$91.1,1,$91.1,The Imitation Game,$91.1
547,Kenny Ortega,$90.6,1,$90.6,High School Musical 3,$90.6
548,Patrick Lussier,$89.8,1,$89.8,Terminator: Genisys,$89.8
549,Fede Alvarez,$89.2,1,$89.2,Don't Breathe,$89.2
550,Joseph Kosinski,$89.1,1,$89.1,Oblivion,$89.1
551,Sergio Aguero,$88.7,4,$22.2,No Reservations,$43.1
552,Mark S. Waters,$87.6,3,$29.2,Ghosts of Girlfriends Past,$55.3
553,Bruce A. Evans,$87.2,3,$29.1,Stand by Me,$52.3
554,Kenneth Branagh,$87.0,1,$87.0,Murder on the Orient Express (2017),$87.0
555,Zach Galifianakis,$86.9,1,$86.9,The Campaign,$86.9
556,John Wells,$86.8,17,$5.1,Doom,$28.2
557,Jeff Bridges,$84.9,3,$28.3,The Giver,$45.1
558,Jay Polstein,$84.5,3,$28.2,Underdog,$43.8
559,Steve Carell,$84.4,1,$84.4,"Crazy, Stupid, Love.",$84.4
560,Louis Leterrier,$83.7,1,$83.7,Wrath of the Titans,$83.7
561,Michael Apted,$83.7,2,$41.8,Bram Stoker's Dracula,$82.5
562,Natalie Portman,$83.5,5,$16.7,No Strings Attached,$70.7
563,Eric Darnell,$83.4,1,$83.4,Penguins of Madagascar,$83.4
564,Tom McGrath,$83.4,1,$83.4,Penguins of Madagascar,$83.4
565,Christopher McQuarrie,$83.1,1,$83.1,Valkyrie,$83.1
566,Nicholas Thomas,$82.4,1,$82.4,Let's Be Cops,$82.4
567,Kerry Heysen,$81.7,3,$27.2,No Reservations,$43.1
568,Seth Gordon,$78.7,1,$78.7,Pixels,$78.7
569,Stephen Kendrick,$78.2,3,$26.1,Courageous,$34.5
570,J.H. Wyman,$77.7,2,$38.9,The Mexican,$66.8
571,McG,$77.6,2,$38.8,We Are Marshall,$43.5
572,Alec Berg,$77.4,2,$38.7,The Dictator,$59.7
573,David Mandel,$77.4,2,$38.7,The Dictator,$59.7
574,Billy Crystal,$77.3,1,$77.3,Parental Guidance,$77.3
575,Mark Millar,$76.9,2,$38.4,Kick-Ass,$48.1
576,Steve Pink,$76.4,1,$76.4,Knight & Day,$76.4
577,Matthew Peterman,$76.3,2,$38.2,The Devil Inside,$53.3
578,Allen Hughes,$76.0,5,$15.2,From Hell,$31.6
579,Peter Morgan,$76.0,4,$19.0,Hereafter,$32.7
580,Rhett Reese,$75.6,1,$75.6,Zombieland,$75.6
581,Paul Wernick,$75.6,1,$75.6,Zombieland,$75.6
582,Kurt Wimmer,$73.4,1,$73.4,Law Abiding Citizen,$73.4
583,James Vanderbilt,$73.1,1,$73.1,White House Down,$73.1
584,Marcy Drogin,$72.3,3,$24.1,The Sentinel,$36.3
585,Eli Roth,$71.9,4,$18.0,The Last Exorcism,$41.0
586,Barbara Muschietti,$71.6,1,$71.6,Mama,$71.6
587,Brian Koppelman,$70.9,4,$17.7,The Illusionist,$39.9
588,Roman Polanski,$70.7,5,$14.1,The Pianist,$32.6
589,Malcolm D. Lee,$70.5,1,$70.5,The Best Man Holiday,$70.5
590,Mike McCoy,$70.0,1,$70.0,Act of Valor,$70.0
591,Jason Keller,$67.3,1,$67.3,A Good Day to Die Hard,$67.3
592,Bruce Willis,$67.3,1,$67.3,A Good Day to Die Hard,$67.3
593,Eric Heisserer,$67.3,1,$67.3,Lights Out,$67.3
594,Thomas Carter,$67.3,1,$67.3,Coach Carter,$67.3
595,Baltasar Kormakur,$66.5,1,$66.5,Contraband,$66.5
596,Joseph Gordon-Levitt,$66.5,1,$66.5,Looper,$66.5
597,Mark Burnett,$66.2,2,$33.1,Son of God,$59.7
598,Jeremy Garelick,$64.5,1,$64.5,The Wedding Ringer,$64.5
